#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus
ASV_14589	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_11227	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_3958	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_14066	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter
ASV_22628	Bacteria	Firmicutes	Bacilli	Bacillales		
ASV_10688	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	Eubacterium
ASV_2222	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_5613	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eubacterium
ASV_323	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
ASV_13975	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_4380	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_9433	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_5118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_12023	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	horsej-a03
ASV_12428	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_927	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae XPB1014 group
ASV_10966	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_11978	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
ASV_12970	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	
ASV_10740	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_11981	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_7062	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_13379	Bacteria					
ASV_11935	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	D_6__uncultured organism
ASV_2238	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group
ASV_425	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_16339	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_16316	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_9556	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
ASV_8652	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_11484	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_435	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	
ASV_3141	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
